data;mês;dia_mes;dia_semana;setor;turno;carro;tempo_coleta;horas_coleta;tempo_trajeto;horas_trajeto;tempo_aterro;horas_aterro;km_coleta;km_trajeto;producao;producao_ton;viagens;ton/h;ton/km
31/03/2021;mar;31;qua;10;DIURNO;33048;07:25:00;7,42;00:53:00;0,88;00:32:00;0,53;37;27;19.890;19,89;2;2,682;0,538
31/03/2021;mar;31;qua;10;DIURNO;32050;03:35:00;3,58;00:46:00;0,77;00:20:00;0,33;5;34;5.860;5,86;2;1,635;1,172
31/03/2021;mar;31;qua;12;DIURNO;32049;07:41:00;7,68;02:37:00;2,62;00:33:00;0,55;37;73;22.370;22,37;3;2,911;0,605
31/03/2021;mar;31;qua;15;DIURNO;32051;08:10:00;8,17;01:55:00;1,92;00:35:00;0,58;42;31;23.810;23,81;3;2,916;0,567
31/03/2021;mar;31;qua;17;DIURNO;33049;10:40:00;10,67;01:00:00;1;00:45:00;0,75;59;17;26.220;26,22;3;2,458;0,444
31/03/2021;mar;31;qua;19;DIURNO;33024;07:06:00;7,1;01:36:00;1,6;00:20:00;0,33;47;36;16.010;16,01;2;2,255;0,341
31/03/2021;mar;31;qua;1;NOTURNO;32049;04:57:00;4,95;01:07:00;1,12;00:19:00;0,32;22;34;14.020;14,02;2;2,832;0,637
31/03/2021;mar;31;qua;1;NOTURNO;32051;01:37:00;1,62;00:28:00;0,47;00:04:00;0,07;14;14;3.840;3,84;1;2,375;0,274
31/03/2021;mar;31;qua;2;NOTURNO;33024;06:25:00;6,42;00:50:00;0,83;00:20:00;0,33;40;31;15.550;15,55;2;2,423;0,389
31/03/2021;mar;31;qua;6;NOTURNO;33048;05:53:00;5,88;01:42:00;1,7;00:08:00;0,13;39;36;16.330;16,33;2;2,776;0,419
31/03/2021;mar;31;qua;11;NOTURNO;32050;06:48:00;6,8;00:49:00;0,82;00:22:00;0,37;40;22;17.010;17,01;2;2,501;0,425
31/03/2021;mar;31;qua;21;NOTURNO;32048;05:07:00;5,12;00:54:00;0,9;00:25:00;0,42;45;27;10.290;10,29;2;2,011;0,229
31/03/2021;mar;31;qua;8;DIURNO;31912;06:23:00;6,38;01:17:00;1,28;00:25:00;0,42;28;57;13.690;13,69;2;2,145;0,489
01/04/2021;abr;1;qui;9;DIURNO;33048;06:02:00;6,03;00:48:00;0,8;00:41:00;0,68;22;29;12.550;12,55;1;2,08;0,57
01/04/2021;abr;1;qui;14;DIURNO;32048;04:15:00;4,25;01:05:00;1,08;00:10:00;0,17;36;50;7.950;7,95;1;1,871;0,221
01/04/2021;abr;1;qui;16;DIURNO;32051;05:22:00;5,37;02:15:00;2,25;00:30:00;0,5;29;54;11.750;11,75;2;2,189;0,405
